,用户ID,性别,年龄,归属地,客户类型,在网时长,换机频率,终端品牌,终端类型,最近使用操作系统偏好,入网渠道类型,渠道类型描述,上网流量使用,漫游流量使用,总收入,增值收入,流量收入,短信收入,彩信收入,语音收入,是否欠费,产品大类,产品分类
120,02190795F8241E29CE1B6CCD57C6C40F,女,21.0,北京,公众客户,3,频繁换机型,苹果,3G,IOS,1.0,自有渠道,1509.219732,0.0,439.5,291.7,228.6,63.4,63.4,87.8,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
121,02B150B383D164B42136F62150F7B1B0,女,33.0,北京,公众客户,1,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,417.288904,0.0,99.4,44.7,43.5,0.9,0.9,44.7,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
122,039A10D9585E8DC46C6B52804D44F646,男,17.0,北京,公众客户,1,频繁换机型,苹果,3G,IOS 6.0,2.0,社会渠道,287.359757,0.0,90.25,87.7,86.4,1.3,1.3,2.55,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
124,04632F9CF0031AB54AA33F1E90304CCC,女,18.0,北京,公众客户,2,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,2002.858986,0.0,267.6,141.0,131.4,9.0,9.0,86.6,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
125,048D13CD15E9B0DAF067D6FD78E35BDF,女,46.0,保定,公众客户,187,频繁换机型,苹果,4G,IOS 9.3,1.0,自有渠道,197.208612,28.043029,104.2,34.2,14.7,17.4,17.5,54.0,否,本地套餐,4G本地套餐-16元套餐
126,06AE3188BE77CA7FBD5D892950E6CBAA,女,31.0,邯郸,公众客户,1,频繁换机型,华为,4G,ANDROID 5.0.2,2.0,社会渠道,932.53679,0.0,160.1,116.0,114.6,1.1,1.1,8.1,是,本地套餐,4G本地套餐-26元套餐
127,07FE1E6513633E5154F306F598C890DA,男,21.0,天津,公众客户,11,频繁换机型,魅族,4G,ANDROID 5.1.0,1.0,自有渠道,612.943058,50.183254,165.5,15.3,15.3,4.4,0.0,50.2,否,4G本地行业套餐,集客4G本地行业套餐-30元套餐
128,08A51ACF2DA8597654D88B2AD3C3CE0A,女,28.0,北京,公众客户,49,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,3101.94867,0.0,298.25,140.0,120.0,20.0,0.0,47.25,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
129,08DE349D48182712FFC757CD83A9EC95,男,20.0,张家口,公众客户,6,频繁换机型,苹果,3G,IOS 6.0,1.0,自有渠道,40282.93696,38472.03316,229.05,106.1,69.6,1.5,1.5,16.95,否,校园专属-非小区B套餐,校园专属-沃派36元B套餐
130,093BE76A7A9FFF7C4CA3512B37DF7211,女,24.0,北京,公众客户,32,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,12711.48514,714.022573,290.26,0.26,5.0,0.26,0.0,47.0,否,国内流量套餐,290元11GB国内流量套餐
131,0A429B7752230630FB9E2D2D9E30F4CF,男,35.0,北京,公众客户,69,频繁换机型,锤子,3G,ANDROID 4.4.2,2.0,社会渠道,1259.395132,154.328591,249.7,0.78,5.0,0.78,0.0,1.92,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
132,0A8FF250F97E2C3723EDBA730EB3EF0A,女,56.0,北京,公众客户,1,频繁换机型,苹果,3G,IOS,1.0,自有渠道,53.19344,53.183715,15.7,4.1,1.2,2.6,2.6,7.6,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
133,0C7949DD1D08322F75E3E330E0DEF1C2,女,37.0,北京,公众客户,2,频繁换机型,苹果,3G,IOS,2.0,社会渠道,1962.866547,1962.866547,1225.52,2.28,235.0,2.28,0.0,402.24,否,基本套餐,596元基本套餐（含国内语音3000分钟，国内流量11GB）
134,0C919BE7C6E62E7DC0BAE1B4E65E9C2B,男,38.0,北京,公众客户,82,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,2933.780301,2612.246325,602.84,1.04,82.94,1.04,0.0,4.8,否,国内流量套餐,90元2GB国内流量套餐
135,0CCC159E12AD7BF092C62BE95C3BCA55,男,50.0,张家口,公众客户,151,频繁换机型,小米,4G,ANDROID 4.4.4,2.0,社会渠道,132.234283,0.079176,23.9,0.4,0.3,0.1,0.1,7.5,否,本地套餐,4G本地套餐-16元套餐
137,107EDFFFB1845633B8272DD7FBF5E0AB,女,25.0,北京,公众客户,1,频繁换机型,欧珀,4G,ANDROID,1.0,自有渠道,132.513788,0.0,63.2,50.3,39.9,0.4,0.4,12.9,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
138,1158AF5CF23F38818826AAC00AF59EF7,男,38.0,沧州,公众客户,59,频繁换机型,维沃,4G,ANDROID,2.0,社会渠道,17.493384,15.066544,47.4,7.8,5.4,3.5,2.7,19.6,否,4G本地语音套餐,4G本地语音套餐-20元套餐
139,1180B925AC6691C736EA58884D01FC14,男,41.0,天津,公众客户,7,频繁换机型,维沃,4G,ANDROID,2.0,社会渠道,2780.940662,74.130597,13.65,3.3,2.1,1.2,0.8,4.35,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
140,125061BB7A197D5E0175FB8D8C191933,男,50.0,北京,公众客户,58,频繁换机型,苹果,3G,IOS,2.0,社会渠道,1571.080019,629.582608,85.6,40.2,11.2,20.0,0.0,5.4,否,国内流量套餐,30元500MB国内流量套餐
143,030FD0CE0C09128036D19B00F5B5B145,女,31.0,天津,公众客户,18,频繁换机型,欧珀,2G,ANDROID 4.2.2,1.0,自有渠道,427.786882,59.958765,58.5,18.1,18.0,0.1,0.0,0.4,是,本地套餐,4G本地套餐-40元套餐（京津）
145,03EF8187EFE8A87255D49746E835A11F,女,22.0,天津,公众客户,25,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,1440.127447,0.0,271.87,49.6,39.6,10.0,0.0,179.4,否,本地套餐,4G本地套餐-26元套餐
146,04E5CE515BB8DEF694E2633711193866,女,41.0,天津,公众客户,36,频繁换机型,欧珀,2G,ANDROID,1.0,自有渠道,53.529303,0.009977,47.7,6.4,0.3,6.1,6.1,15.3,否,本地套餐,4G本地套餐-26元套餐
147,05D8543E429FBF45F9A23445C241B5BC,男,22.0,北京,公众客户,19,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,382.199819,311.472194,65.6,22.6,12.6,10.0,0.0,21.0,否,国内流量套餐,20元300MB国内流量套餐
148,05E9326F78FF6739A84207678DFB9EBF,女,33.0,北京,公众客户,66,频繁换机型,苹果,3G,IOS 7.0,1.0,自有渠道,545.227907,41.8845,123.26,1.56,55.0,1.56,0.0,24.24,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
149,062F7619F12276B31056494F52D5B8D4,男,50.0,北京,公众客户,1,频繁换机型,金立,4G,ANDROID,1.0,自有渠道,1799.753754,0.0,201.45,120.1,120.0,0.1,0.1,28.35,是,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
150,099DDCE831BCFE6DE3C4FB88C39CB9A3,男,29.0,北京,公众客户,50,频繁换机型,苹果,4G,IOS 6.0,2.0,社会渠道,475.695213,475.695213,72.16,2.72,25.0,2.72,1.2,22.44,是,国内流量套餐,20元300MB国内流量套餐
151,0B9E647823B6D4ABC756EFA7F8B988A4,男,25.0,天津,公众客户,1,频繁换机型,苹果,3G,IOS,2.0,社会渠道,447.910056,41.827678,32.25,24.6,12.6,12.0,12.0,7.65,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
152,0BE4596625B3B08AF9A3708316834F69,男,33.0,天津,公众客户,52,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,866.338246,0.0,117.81,21.59,20.4,5.0,0.0,6.12,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
153,0C1710B3B3ECF6DD03C234EF4E37D096,女,53.0,承德,公众客户,4,频繁换机型,苹果,3G,IOS,2.0,社会渠道,56.440121,56.440121,30.2,17.2,17.1,0.1,0.1,3.0,否,4G本地语音套餐,4G本地语音套餐-10元套餐
154,0D48C5113DB2DEDAAC69A9D46BB358A1,女,46.0,天津,公众客户,1,频繁换机型,苹果,3G,IOS,2.0,社会渠道,396.873509,0.0,21.46,3.8,3.6,0.2,0.0,2.1,否,本地套餐,4G本地套餐-40元套餐（京津）
155,0D80898A2DD8AD233D2D3F8C11814B5F,男,43.0,天津,公众客户,1,频繁换机型,三星,2G,ANDROID 4.4.4,1.0,自有渠道,6.729975,0.0,5.9,2.3,2.1,0.2,0.2,3.6,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
156,0DE77EA7166DE394BA539D70D099715D,男,44.0,天津,公众客户,1,频繁换机型,苹果,4G,IOS,2.0,社会渠道,357.932074,44.972246,17.8,13.6,13.5,0.1,0.1,4.2,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
157,0E0EE984D61838440B2099ADA88B956F,女,25.0,衡水,公众客户,4,频繁换机型,苹果,3G,IOS 6.0,2.0,社会渠道,806.436612,0.0,68.15,17.9,17.4,0.5,0.5,14.25,否,本地套餐,4G本地套餐-36元套餐
158,0E28EFF102DDFCB251B7FC10B2D7A723,女,48.0,天津,公众客户,1,频繁换机型,乐视,4G,ANDROID,2.0,社会渠道,29.597607,0.0,11.35,9.1,9.0,0.1,0.1,2.25,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
159,0EEB243C1731C19CAABDDBEB1A68FCF4,男,41.0,北京,公众客户,13,频繁换机型,联想,2G,ANDROID,1.0,自有渠道,822.040847,9.793092,71.2,18.0,3.0,15.0,0.0,13.2,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
160,0F9F41E2BC9836350B27527C66644DD8,男,36.0,北京,公众客户,71,频繁换机型,苹果,3G,IOS,1.0,自有渠道,4713.594388,3165.021317,424.96,0.62,5.0,0.52,0.1,81.6,否,基本套餐,166元基本套餐（含国内语音500分钟，国内流量2GB）
161,0FDC9F5F997FA280BEF48C2C1EC023EB,女,50.0,北京,公众客户,1,频繁换机型,酷派,2G,ANDROID,2.0,社会渠道,0.419634,0.0,18.2,0.4,0.3,0.1,0.1,17.8,是,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
162,10FBA437C5D6C66ED25391A215D78C09,女,33.0,北京,公众客户,71,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,4853.651675,424.896633,367.96,139.32,138.8,0.52,0.0,8.64,否,国内流量套餐,120元3GB国内流量套餐
164,1225698BC7B0FE9EE33A2BC5D715AA07,女,32.0,天津,公众客户,67,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,7780.354548,2698.927454,270.04,12.7,2.7,10.0,0.0,4.2,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
165,13AE762B04760F645D989EB6CEFDA8A7,女,36.0,北京,公众客户,42,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,8878.056918,749.711682,507.76,121.56,145.0,1.82,0.0,13.2,否,基本套餐,296元基本套餐（含国内语音1000分钟，国内流量4GB)
166,13F177F1067923D1D82747C109A8E63D,男,26.0,北京,公众客户,38,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,1180.650387,531.898651,163.1,75.0,60.0,15.0,0.0,2.1,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
167,14B631F1993B6F57767D91C0176030DC,女,56.0,北京,公众客户,38,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,3311.11347,213.636615,273.27,60.26,60.0,0.26,0.0,100.8,否,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
168,14E3C3B55A783FB6D5B6D87CF7047A31,男,37.0,天津,公众客户,154,频繁换机型,苹果,3G,IOS 6.0,1.0,自有渠道,2252.98445,405.001987,250.05,77.6,60.0,17.5,0.1,66.45,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
170,15641F9AD4694EBF27FB9B15F753B4EF,男,22.0,天津,公众客户,47,频繁换机型,华为,4G,ANDROID 4.4.2,2.0,社会渠道,184.547091,10.688291,76.62,1.04,8.3,4.04,0.0,2.88,否,本地套餐,4G本地套餐-70元套餐
171,15860443D74676C21BFE40945221488C,男,43.0,天津,公众客户,47,频繁换机型,华为,4G,ANDROID 5.1,2.0,社会渠道,550.041523,0.004002,289.5,18.2,10.2,8.0,0.0,207.3,否,国内流量套餐,30元500MB国内流量套餐
172,16613E1C30FB3B031FE7BA156734215D,男,27.0,天津,公众客户,26,频繁换机型,小米,4G,ANDROID 4.4.4,2.0,社会渠道,289.094315,0.0,63.0,42.3,41.1,1.2,0.0,2.7,否,省内流量套餐,10元150MB省内流量套餐
174,1823C66B942388AD7EEC0EDC90AD57CF,男,33.0,北京,公众客户,1,频繁换机型,苹果,3G,IOS 7.0,1.0,自有渠道,24.161785,0.0,63.4,7.7,7.5,0.2,0.2,55.7,是,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
175,18EB51541EEA81F1DE53156613F53AB7,男,32.0,邯郸,公众客户,4,频繁换机型,乐视,4G,ANDROID,1.0,自有渠道,1412.854798,0.0,34.61,3.1,2.1,1.0,1.0,0.1,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
176,19CE3D79AEDDA456EE1A31A2932A8F8B,男,31.0,北京,公众客户,34,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,3259.60016,316.445199,519.8,396.4,383.8,6.2,7.4,69.4,否,国内流量套餐,60元1GB国内流量套餐
177,1ACF75300B4493CA276CC596CF28F189,女,25.0,天津,公众客户,62,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,3399.004206,0.0,183.5,0.0,11.4,3.0,0.0,53.4,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
178,1BDB62303B357824AFF4EBE52F9C91A1,男,24.0,石家庄,公众客户,35,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,1046.539117,0.0,274.9,63.61,60.0,1.9,1.9,107.0,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
179,1CCDFEE953EE9FB96D3789010C421B85,男,33.0,天津,公众客户,26,频繁换机型,华为,4G,ANDROID 4.4.2,2.0,社会渠道,134.431672,134.431672,23.0,7.2,7.0,0.2,0.0,1.8,否,国内流量套餐,10元100MB国内流量套餐
180,1DBC6979039CE195AA6DFE7D47D31606,女,65.0,天津,公众客户,13,频繁换机型,华为,3G,ANDROID,1.0,自有渠道,530.101819,3.491277,106.5,5.8,1.8,4.0,4.0,74.7,否,本地套餐,4G本地套餐-26元套餐
181,1E0B32DA642DA1ABD11E5BB76C8DB0D9,男,22.0,石家庄,公众客户,9,频繁换机型,三星,4G,ANDROID 4.4.4,2.0,社会渠道,5002.954395,0.0,64.7,41.1,21.0,5.1,5.1,6.6,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
182,1F16A4DE75CC0306D35A41326893F20E,男,18.0,廊坊,公众客户,3,频繁换机型,魅族,2G,ANDROID 4.4,2.0,社会渠道,514.781624,0.0,147.7,113.4,109.8,0.9,0.9,18.3,否,本地套餐,4G本地套餐-16元套餐
183,1F1B3D295BAE6FDAA6CDB2C706AACD7D,男,62.0,天津,公众客户,12,频繁换机型,小米,4G,ANDROID 4.4.2,1.0,自有渠道,1295.336594,0.0,62.66,3.1,6.6,4.7,0.0,11.4,否,本地套餐,4G本地套餐-40元套餐（京津）
184,1FF0F5FC83021D7781B60E68D73BAB34,男,30.0,天津,公众客户,63,频繁换机型,苹果,4G,IOS,2.0,社会渠道,843.309877,182.267863,93.04,2.44,5.0,4.16,0.1,9.6,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
185,1FFC23847A61C521A75266942E4637AE,男,32.0,北京,公众客户,55,频繁换机型,苹果,4G,IOS,1.0,自有渠道,6929.052111,34.223764,468.0,210.05,180.0,30.4,30.4,1.6,否,基本套餐,296元基本套餐（含国内语音1000分钟，国内流量4GB)
186,2052CF63980F79AF05F78DA3A00ED4A5,男,22.0,天津,公众客户,20,频繁换机型,苹果,3G,IOS 7.0,1.0,自有渠道,2028.947703,102.529341,153.34,8.4,5.4,3.0,0.0,16.5,是,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
188,0F8AF9D6247036836FCF7CEFED51629D,男,36.0,北京,公众客户,1,频繁换机型,小米,2G,ANDROID 5.0,1.0,自有渠道,0.016345,0.0,0.8,0.6,0.3,0.3,0.3,0.2,是,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
190,102A7EC42C1468B4CF97BD86FBBF5317,女,36.0,北京,公众客户,1,频繁换机型,苹果,4G,IOS 7.0,1.0,自有渠道,86.718295,0.0,58.0,26.2,26.1,0.1,0.1,31.8,否,省内流量套餐,10元150MB省内流量套餐
191,10769E838BD7BCBD0DE04917C4B8925D,男,36.0,北京,公众客户,4,频繁换机型,苹果,4G,IOS 7.0,1.0,自有渠道,2532.542234,123.184754,263.9,135.1,117.6,13.0,17.5,38.8,否,4G本地行业套餐,集客4G本地行业套餐-66元套餐（京）
192,12CB7D90524370B56956F52BD7D1478F,女,47.0,廊坊,公众客户,3,频繁换机型,奥珀,2G,ANDROID 5.1.1,2.0,社会渠道,20.956443,0.039174,32.15,9.4,6.3,0.7,3.1,12.75,否,4G本地语音套餐,4G本地语音套餐-10元套餐
193,140A8A2ACD10658AC262B5F3F0285E98,男,38.0,天津,公众客户,124,频繁换机型,维沃,3G,ANDROID,1.0,自有渠道,48.73501,0.0,30.95,5.0,2.1,1.6,2.8,19.95,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
195,1487A749A5D50E8C7F7AFAFB2CC4EDA8,男,20.0,天津,公众客户,7,频繁换机型,维沃,4G,ANDROID,2.0,社会渠道,423.43859,40.86548,149.9,2.5,12.3,0.2,0.0,107.4,否,本地套餐,4G本地套餐-40元套餐（京津）
196,14CB10D031EC1BF6112FC055C5E8D0E6,男,33.0,北京,公众客户,3,频繁换机型,中兴,3G,ANDROID 4.3,1.0,自有渠道,641.80104,641.80104,39.95,23.5,22.8,0.7,0.7,6.45,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
197,182EA61A1058E91F7AEF1F9906F646A6,男,36.0,天津,公众客户,1,频繁换机型,华为,4G,ANDROID 4.4.2,2.0,社会渠道,115.303582,113.25459,43.0,35.5,34.2,1.3,1.3,7.5,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
199,189E704F3FDA79B40FB9917ACA55C942,男,23.0,邯郸,公众客户,36,频繁换机型,三星,3G,ANDROID 4.3,2.0,社会渠道,2239.199942,0.0,73.12,5.0,4.6,0.4,0.4,15.6,否,国内流量套餐,10元100MB国内流量套餐
200,191D2F00F289228809C945BEC4F3B9CA,男,28.0,北京,公众客户,35,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,1927.075133,0.0,168.1,61.7,60.0,1.6,1.7,0.4,是,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
201,199F98F75AA802B5298F2372E540E9B6,男,52.0,唐山,公众客户,39,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,810.265452,422.454568,151.7,28.42,3.0,23.0,23.2,49.5,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
202,1A303388205F0C7E4F11227C2CE01C5C,女,25.0,北京,公众客户,39,频繁换机型,苹果,4G,IOS,1.0,自有渠道,986.267749,142.80514,209.42,0.82,60.0,0.52,0.3,57.6,否,国内流量套餐,60元1GB国内流量套餐
203,1A4AEAD14ACA3F83F6838C8D266DD3AF,男,45.0,邯郸,公众客户,150,频繁换机型,维沃,2G,ANDROID,2.0,社会渠道,3.426516,0.0,93.45,10.5,1.2,4.3,4.3,72.95,否,4G本地语音套餐,4G本地语音套餐-10元套餐
204,1AF5F95FE038955806FE52D42215E2F8,女,47.0,天津,公众客户,1,偶尔换机型,乐视,4G,ANDROID,1.0,自有渠道,1.62911,0.0,0.9,0.7,0.6,0.1,0.1,0.2,是,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
205,1B6565C245744F917DB0EBE9ADE1320D,男,40.0,天津,公众客户,42,频繁换机型,金立,4G,ANDROID,1.0,自有渠道,1208.744403,1.009588,188.4,37.7,32.1,5.0,0.0,14.7,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
206,1BC88D5FC8949D49D81617D085450312,男,28.0,北京,公众客户,51,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,4049.582475,255.323777,263.74,180.26,180.0,0.26,0.0,9.6,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
207,1BEB8A4B70B8F76A332DD19CDDC77C08,女,52.0,张家口,公众客户,10,频繁换机型,华为,2G,ANDROID 4.2.2,2.0,社会渠道,11.969901,0.0,17.75,4.6,3.9,0.7,0.7,3.15,否,4G本地语音套餐,4G本地语音套餐-10元套餐
208,1C24B367F1BBB74BF503D8EA7B850B49,男,22.0,天津,公众客户,45,频繁换机型,苹果,4G,IOS 7.0,2.0,社会渠道,1046.742738,0.0,130.7,78.3,75.0,3.0,0.0,2.4,否,校园专属-小区A套餐,校园专属-沃派30元A套餐（校园）
209,1C6352C6AF175B32C8D0BA1C2E63C0CF,男,61.0,秦皇岛,公众客户,46,频繁换机型,三星,4G,ANDROID 4.4.4,1.0,自有渠道,1106.039702,1106.039702,71.85,25.5,24.9,0.6,0.6,15.6,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
211,178D5FEEE1EFAB7C1C4633E38E129C9F,男,27.0,石家庄,公众客户,25,频繁换机型,苹果,3G,IOS 6.0,2.0,社会渠道,107.853767,0.0,65.15,15.2,3.3,0.9,0.9,19.95,否,4G本地语音套餐,4G本地语音套餐-20元套餐
212,18D3F57FAC3A229FD23B3A0237E07237,男,26.0,天津,公众客户,1,频繁换机型,锤子,4G,ANDROID 4.4.4,2.0,社会渠道,1285.716701,0.0,168.8,73.4,60.0,13.4,13.4,95.4,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
213,18EE1F15D6449B8AFBBA31C50CB8A698,男,33.0,北京,公众客户,48,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,1534.99291,0.0,286.62,2.32,2.1,5.8,0.0,165.4,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
214,19D7EC04403FCEC1B3AACBC133FEC042,男,18.0,邯郸,公众客户,6,频繁换机型,苹果,4G,IOS 7.0,2.0,社会渠道,408.938067,11.010205,74.65,7.8,6.0,1.8,1.8,50.85,否,本地套餐,4G本地套餐-16元套餐
215,1F463D899EE3EABEB42291ECC2A7E139,男,61.0,北京,公众客户,49,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,911.539069,562.76752,495.84,9.76,285.0,0.76,0.0,76.08,否,国内流量套餐,60元1GB国内流量套餐
216,1F5DFB20153264F232044B112B5D9279,男,55.0,北京,公众客户,39,频繁换机型,三星,4G,ANDROID 4.4.4,2.0,社会渠道,1182.513,67.387107,67.9,42.0,41.1,0.9,0.9,15.9,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
219,2298CD7E4D3F7FF6C98389858B6209FF,男,28.0,北京,公众客户,52,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,2931.227051,2269.336417,1694.68,16.12,5.0,16.12,0.0,705.56,否,基本套餐,296元基本套餐（含国内语音1000分钟，国内流量4GB)
220,2325AAFB42E35EC3734AB30D63293834,男,19.0,北京,公众客户,45,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,7702.727605,7702.727605,430.4,250.0,240.8,9.8,9.2,6.4,否,国内流量套餐,60元1GB国内流量套餐
221,23E7775B856E34F52C60C39901B7B086,男,21.0,天津,公众客户,15,频繁换机型,小米,4G,ANDROID 4.4.2,2.0,社会渠道,1137.910131,16.081082,57.43,5.4,5.1,0.3,0.0,17.25,否,省内流量套餐,30元750MB省内流量套餐
222,267A6B222E0E3D57898FB58734CA5A90,男,51.0,北京,公众客户,39,频繁换机型,苹果,3G,IOS 6.0,1.0,自有渠道,11.220879,11.220879,85.43,0.0,20.0,0.78,0.0,5.76,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
223,26B2C9BECC877E5ED96D80DFA338C12B,女,29.0,沧州,公众客户,4,频繁换机型,小米,4G,ANDROID 4.4.4,2.0,社会渠道,286.372056,0.0,90.35,14.3,14.1,0.2,0.2,46.05,否,4G本地语音套餐,4G本地语音套餐-10元套餐
224,26D79CFFB9343E71467DFEE52404A703,男,23.0,沧州,公众客户,8,频繁换机型,华为,4G,ANDROID 5.0,2.0,社会渠道,585.339888,585.339888,310.3,176.1,175.5,0.6,0.6,118.2,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
226,2A75D508C9761D0F74FC6B81DA9C4EEB,男,25.0,北京,公众客户,1,频繁换机型,小米,3G,ANDROID 4.3,1.0,自有渠道,1071.018727,0.0,72.4,17.1,0.9,1.2,1.2,3.3,否,省内流量套餐,20元450MB省内流量套餐
227,2ABA7FCB8AC783D05C47C0CB60F46A33,男,28.0,北京,公众客户,113,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,788.454926,15.918801,72.0,29.9,9.9,20.0,0.0,2.1,否,本地套餐,4G本地套餐-40元套餐（京津）
